Countrygp,Country,CO2,GNIPCAP,Immun,LIFEXP,MALNUT,INFMORT,UND5MORT,POV,FMTED,FMPED,FMSED
5,Italy,7.422188282,20160,73,79.52243805,,4.599999905,5,,129.6820068,99.66985321,
3,Jamaica,4.201152325,2940,88,71.0311203,,17,20,2,181.6937256,99.95969391,102.8088226
5,Japan,9.331922531,35140,96,81.07609558,,3.200000048,4.5,,85.44359589,99.90673065,101.1412735
4,Jordan,3.262844563,1810,94,70.64536285,,25,30,,113.4483566,100.3352585,102.9064789
6,Kazakhstan,8.137633324,1270,99,65.64390564,,63,73,,118.3486633,100.4447174,101.2616959
2,Kenya,0.313518196,430,75,48.42756271,21.20000076,77,117,,54.2589035,98.61110687,95.10836029
1,Kiribati,0.36357221,1030,80,61.87024307,,52,70,,,100.5417023,160.0926971
1,"Korea, Dem. Rep.",7.880346298,,78,63.10200119,27.89999962,42,55,,,,
1,"Korea, Rep.",9.090062141,9790,95,75.85548401,,5,5.400000095,,57.36486435,100.767952,99.52545166
4,Kuwait,24.35974503,16790,99,76.58000183,,9.100000381,11.30000019,,,102.1481018,103.9635315
6,Kyrgyz Republic,0.944456697,280,98,68.55854034,6.599999905,60,70,,101.230423,98.57709503,102.8024139
1,Lao PDR,0.191579446,280,42,53.6695137,40.40000153,77,101,,52.54536057,85.25228119,70.26236725
6,Latvia,2.525564909,3240,97,70.30341339,,10.39999962,12.89999962,,178.1865997,98.10668945,103.0515442
4,Lebanon,4.459956646,5060,90,71.29638672,,28,32,,109.8108063,95.33608246,109.0099869
2,Lesotho,,630,74,41.16404724,18,75.47000122,105.0800018,,152.2313232,103.7016525,131.3349457
2,Liberia,0.130283371,130,52,42.23453522,26.5,157,235,,75.96004486,72.68727875,72.36472321
2,Libya,8.46284771,,92,73.1354599,,20,22,,97.79728699,98.30844116,
5,Liechtenstein,,,,,,5.300000191,6,,,,
6,Lithuania,3.407979965,3180,97,71.9748764,,8.5,11,2,151.9845886,99.05889893,99.52593231
5,Luxembourg,18.95576286,43560,91,77.87316895,,5,,,108.5215988,100.9744949,105.5255737
1,"Macao, China",3.684346437,14390,,79.36195374,,,,,95.82744598,95.48045349,104.411026
6,"Macedonia, FYR",5.672368526,1850,97,72.89511871,,16,18,,127.724617,99.28635406,96.69071198
2,Madagascar,0.140043661,240,56,54.78517151,,84,137,,86.09928894,96.28027344,
2,Malawi,0.066517182,150,73,40.44385529,25.39999962,117,188,,,96.12581635,74.48195648
1,Malaysia,5.845592022,3430,88,72.63473511,,11,14,,108.8305893,100.2149963,110.6752167
1,Maldives,1.717052221,2010,99,65.37595367,,45,60,,,100.4032211,107.6644516
2,Mali,0.046559274,220,49,47.5696106,,124,224,,,75.20233917,56.95124435
5,Malta,7.534687042,9590,74,78.02683258,,6,7,,121.5485916,100.7209015,100.1074982
1,Marshall Islands,,2540,94,65.2390213,,55,68,,,95.78143311,
2,Mauritania,1.161057591,460,62,51.66097641,32,79,125,25.94000053,,94.23368835,71.61316681
2,Mauritius,2.438550949,3740,84,71.663414,,15.80000019,18.10000038,,83.5559845,99.82592773,96.27455902
,Mayotte,,,,,,,,,,,
3,Mexico,3.876623154,5110,96,73.990242,,25,30,9.850000381,93.49338531,97.73314667,102.8846893
1,"Micronesia, Fed. Sts",,2170,82,67.32341766,,20,24,,,,
6,Moldova,1.536867142,370,87,67.9109726,,29.29999924,37.29999924,,131.1287537,98.78627014,99.32766724
5,Monaco,,,99,,,4.900000095,5.5,,,,
1,Mongolia,3.126165152,400,94,63.18048859,12.69999981,50,65,,179.2402191,103.7795486,123.3424606
2,Morocco,1.338934779,1220,93,68.80512238,,45,54,,75.63793945,84.20853424,80.19477844
2,Mozambique,0.072623238,210,71,42.63546371,26,122,178,,,75.66316223,62.75269318
1,Myanmar,0.186332777,,84,59.47536469,35.29999924,78,110,,,99.44260406,107.0782394
