Serial,SPoint,StRegion,Region,Country,RSex,RAge,PeopTrst,RNSSEC,REconAct,Tea,Tea2,HEdQual,HEdQual2,HHincome,UnionSA,TUSAEver,NghBrHd,ResPres,Voted01,PdJobSC,CharOft,CharAmt,PolitSC,GovRight,GovSelf,DemoNow,GrpMemb1,GrpMemb2,GrpMemb3,GrpMemb4,GrpMemb5,IncDiffs,IncDiff,IDCards,MoreWelf,SocHelp,DeathApp,WrongLaw,PartyId2,agegp1,agegp2,incomegp,incomeg1,trust,volgp,volgp1,qual1,qual2
161555,151,9,5,1,2,75,-1,13.4,9,1,15,7,8,2,3,3,48,3,2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,3,1,1,,-1,-1,2,2
161556,151,9,5,1,2,74,-2,10,9,1,14,7,8,5,3,3,41,3,1,2,3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,3,3,1,2,2,2,3,1,1,,-1,-1,2,2
161560,151,9,5,1,2,39,-2,4.1,3,5,21,1,2,13,3,3,9,3,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,1,1,2,2,,-1,-1,1,1
161561,151,9,5,1,2,29,3,12.6,3,4,18,4,5,13,3,3,5,3,1,1,-2,-2,3,4,2,4,4,4,3,4,4,2,4,1,4,2,1,2,1,1,1,2,2,0,0,0,2,2
161562,151,9,5,1,2,45,-2,6,3,5,20,2,3,17,3,2,5,3,2,1,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,3,4,4,3,8,1,2,2,2,,-1,-1,1,1
161564,151,9,5,1,2,50,2,9.1,10,4,18,2,3,14,3,3,8,3,1,2,-2,-2,3,3,2,7,4,4,4,1,1,8,8,1,3,3,1,3,1,2,2,2,2,1,1,1,1,1
161565,151,9,5,1,2,59,-2,10,3,4,18,4,5,12,3,3,9,3,1,1,4,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,2,-2,2,2,4,2,3,2,2,2,2,,-1,-1,2,2
161566,151,9,5,1,2,32,-2,7.1,3,4,18,4,5,12,1,-3,7,3,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,2,3,3,3,1,1,2,2,,-1,-1,2,2
161567,151,9,5,1,1,44,-1,3.2,3,5,22,1,2,13,3,2,0,2,2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,2,2,,-1,-1,1,1
161568,151,9,5,1,2,78,-2,7.3,9,1,14,7,8,3,3,1,4,3,1,2,5,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,2,3,4,4,2,2,3,1,1,,-1,-1,2,2
161571,151,9,5,1,1,71,-2,4.1,9,1,14,1,2,97,3,2,13,3,1,2,4,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,2,3,5,3,2,2,3,,,,-1,-1,1,1
161572,151,9,5,1,1,35,-2,3.2,3,4,18,3,4,14,3,3,35,3,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,3,1,4,1,1,1,2,2,,-1,-1,1,2
161575,151,9,5,1,2,35,-2,3.1,3,5,19,2,3,10,3,1,16,3,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,3,1,2,1,1,1,2,1,,-1,-1,1,1
161576,151,9,5,1,2,31,3,5,3,1,15,4,5,14,3,2,5,3,1,1,-2,-2,3,2,3,5,2,3,3,4,4,2,3,3,3,2,3,3,1,1,1,2,2,0,0,0,2,2
161582,152,9,5,1,2,61,-1,4.3,3,4,18,1,2,98,3,1,20,4,1,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,3,,,,-1,-1,1,1
161583,152,9,5,1,2,36,-1,8.1,3,2,16,4,5,12,3,3,0,4,1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,,-1,-1,2,2
161589,152,9,5,1,1,57,-2,4.3,8,4,18,1,2,4,3,3,20,4,1,2,2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,1,5,5,4,3,2,2,1,1,,-1,-1,1,1
161591,152,9,5,1,1,18,2,12.5,1,7,96,3,4,98,3,3,18,4,2,1,-2,-2,2,3,3,9,4,4,1,3,1,4,4,1,3,4,4,2,5,1,1,,,1,1,1,1,2
161593,152,9,5,1,2,26,-2,9.2,3,5,22,6,7,1,3,3,4,5,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,4,4,5,6,1,1,1,1,,-1,-1,2,2
161596,152,9,5,1,2,81,-2,12.1,9,3,17,4,5,6,3,3,45,3,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,2,2,1,2,3,1,1,,-1,-1,2,2
161597,152,9,5,1,2,54,-1,7.2,9,2,16,4,5,97,3,1,54,4,1,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,2,2,,,,-1,-1,2,2
161598,152,9,5,1,2,41,-1,4.1,10,5,19,2,3,16,3,3,4,4,1,-1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,2,2,,-1,-1,1,1
161599,152,9,5,1,1,50,-2,10,3,4,18,3,4,17,1,-3,2,4,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,5,5,5,5,2,2,2,2,,-1,-1,1,2
161601,152,9,5,1,1,52,-2,4.3,4,5,22,1,2,7,3,3,13,4,1,2,5,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2,3,4,2,5,2,2,1,1,,-1,-1,1,1
161602,152,9,5,1,2,40,-2,4.3,10,5,20,6,7,15,3,3,6,4,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,4,5,6,1,2,2,2,,-1,-1,2,2
